TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 22:23;;FNIRSI 1013D;
6,64E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,68E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,72E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,76E-3;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,80E-3;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,84E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,88E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
6,92E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
6,96E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,00E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,04E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
7,08E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,12E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
7,16E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
7,20E-3;-1,00E-2;-2,00E-2;;;;;;;;;;;;;;
7,24E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
7,28E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
7,32E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
7,36E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
7,40E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,44E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,48E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,52E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,56E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,60E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,64E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,68E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
7,72E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,76E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,80E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,84E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
7,88E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
7,92E-3;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
7,96E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,00E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,04E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,08E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,12E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,16E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,20E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,24E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,28E-3;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
8,32E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,36E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,40E-3;2,00E-3;4,00E-3;;;;;;;;;;;;;;
8,44E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,48E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,52E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,56E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,60E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,64E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,68E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,72E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,76E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,80E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,84E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
