TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 21:44;;FNIRSI 1013D;
3,53E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,54E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,55E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,56E-3;-1,40E-2;-6,00E-3;;;;;;;;;;;;;;
3,57E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,58E-3;-1,80E-2;-1,00E-2;;;;;;;;;;;;;;
3,59E-3;-1,40E-2;-6,00E-3;;;;;;;;;;;;;;
3,60E-3;-1,80E-2;-6,00E-3;;;;;;;;;;;;;;
3,61E-3;-1,40E-2;-6,00E-3;;;;;;;;;;;;;;
3,62E-3;-1,40E-2;-6,00E-3;;;;;;;;;;;;;;
3,63E-3;-1,40E-2;-6,00E-3;;;;;;;;;;;;;;
3,64E-3;-1,40E-2;-2,00E-3;;;;;;;;;;;;;;
3,65E-3;-1,00E-2;-2,00E-3;;;;;;;;;;;;;;
3,66E-3;-1,40E-2;-2,00E-3;;;;;;;;;;;;;;
3,67E-3;-1,00E-2;-2,00E-3;;;;;;;;;;;;;;
3,68E-3;-6,00E-3;2,00E-3;;;;;;;;;;;;;;
